eventID,eventDate,occurrenceID,basisOfRecord,recordNumber,catalogNumber,organismName,organismID,scientificName,lifeStage,sex,individualCount,taxonID,kingdom,phylum,family,genus,speciesEpithet,occurrenceStatus,recordedByID
c0abafa5-7e9a-4b7b-b49d-7049429c9346,2017-06-02,e1a42ca0-9107-4886-92a5-1b26dc5589e8,MaterialSample,RH01035,Genlab_ID,Lmu400,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
2e06b2c7-53bc-4e0f-b607-6aecd183cf4c,2017-06-02,3748944e-c5fb-44f9-a36e-64f4b2b8f653,MaterialSample,RH01034,Genlab_ID,Lmu249,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
267d0f61-cac2-4af5-98a3-99ac72454100,2017-06-02,b0b3230e-c35d-4324-b563-2a6bc6200500,MaterialSample,RH01033,Genlab_ID,Lmu266,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
267d0f61-cac2-4af5-98a3-99ac72454100,2017-06-02,5c587d6d-5d31-4cd6-b181-5c814a1e4f0d,MaterialSample,RH01032,Genlab_ID,Lmu266,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
267d0f61-cac2-4af5-98a3-99ac72454100,2017-06-02,b4edeeba-184d-4d70-9d20-1a9cd9efa70f,MaterialSample,RH01030,Genlab_ID,Lmu411,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
67bf0b3b-7582-4cae-b980-dbcb2a61a940,2017-06-02,c6014e15-5f21-4129-89b2-ddbbea707ca0,MaterialSample,RH01029,Genlab_ID,Lla118,Create a unique ID,Lagopus lagopus,unknown,Female,1,https://www.biodiversity.no/4066,Animalia,Chordata,Phasianidae,Lagopus,lagopus,Present,https://orcid.org/0000-0002-5119-8331
67bf0b3b-7582-4cae-b980-dbcb2a61a940,2017-06-02,6fec0d28-7593-4ba2-91cc-bd6ca0a20f76,MaterialSample,RH01028,Genlab_ID,Lla116,Create a unique ID,Lagopus lagopus,unknown,Female,1,https://www.biodiversity.no/4066,Animalia,Chordata,Phasianidae,Lagopus,lagopus,Present,https://orcid.org/0000-0002-5119-8331
906b40d7-29c1-4640-ad9e-d03bc3cc652d,2017-06-02,21384108-572b-4f8e-ba95-1483bfeb4823,MaterialSample,RH01027,Genlab_ID,Lmu193,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
d7b3a9d0-c768-4c94-aa59-1f8eec5d5cd2,2017-05-26,716f4a91-498e-4f26-9989-2699c9ebaff5,MaterialSample,RH01300,Genlab_ID,Lmu381,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
6fa389e4-2d23-44c8-a87a-7355d2f689a1,2017-05-26,a17139fb-c805-4510-817d-2fd665a0ef0f,MaterialSample,RH01193,Genlab_ID,Lmu377,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
